run_id,seed_idx,condition,algorithm,n_scenarios,ae_mean,ae_sd,wur_mean,wur_sd,coverage,wrong_update_rate,ffcr,abstention_rate,cf_transitions_mean,n_false_feedback
A-confirmatory_a-20260830-001652,0,clean,immediate,90,0.16927190943763643,0.23156652160266558,0.006512937275035846,0.008377365935734649,0.6666666666666666,0.0,,0.0,0.0,0
A-confirmatory_a-20260830-001652,0,clean,pe_seq,90,0.38805635661312476,0.11188956232700747,0.44711528635461273,0.21410687625934482,1.0,0.3333333333333333,,0.0,0.0,0
A-confirmatory_a-20260830-001652,0,clean,cf_only,90,0.0,0.0,0.17636754044635508,0.234144912752637,1.0,0.3333333333333333,,0.0,387.47777777777776,0
A-confirmatory_a-20260830-001652,0,clean,full_rfl,90,0.1857013554874787,0.2158052478500503,0.32087465504084695,0.4203591326242259,1.0,0.3333333333333333,,0.0,88.78888888888889,0
A-confirmatory_a-20260830-001652,0,clean,oracle_upper,90,0.0,0.0,0.17636754044635508,0.234144912752637,1.0,0.3333333333333333,,0.0,0.0,0
A-confirmatory_a-20260830-001652,0,symmetric,immediate,90,0.49633961038023133,0.41637860692071654,0.341113924023152,0.42583942105350275,0.6111111111111112,0.41818181818181815,1.0,0.0,0.0,40
A-confirmatory_a-20260830-001652,0,symmetric,pe_seq,90,0.46910252763195365,0.1632445907103869,0.5104799484922383,0.19384237094251452,1.0,0.4444444444444444,0.8409090909090909,0.0,0.0,44
A-confirmatory_a-20260830-001652,0,symmetric,cf_only,90,0.0,0.0,0.17636754044635508,0.234144912752637,1.0,0.3333333333333333,0.0,0.0,387.47777777777776,34
A-confirmatory_a-20260830-001652,0,symmetric,full_rfl,90,0.18824663856145396,0.203279592967837,0.3126417840522384,0.4000843733624671,1.0,0.3333333333333333,0.07894736842105263,0.0,89.0111111111111,38
A-confirmatory_a-20260830-001652,0,symmetric,oracle_upper,90,0.0,0.0,0.17636754044635508,0.234144912752637,1.0,0.3333333333333333,0.0,0.0,0.0,31
A-confirmatory_a-20260830-001652,1,clean,immediate,90,0.17072118699165564,0.2307270254544878,0.008605297980598042,0.011070188132606863,0.6666666666666666,0.0,,0.0,0.0,0
A-confirmatory_a-20260830-001652,1,clean,pe_seq,90,0.3893955665811693,0.11258944105660083,0.4502526275932116,0.21034022405700603,1.0,0.3333333333333333,,0.0,0.0,0
A-confirmatory_a-20260830-001652,1,clean,cf_only,90,0.0,0.0,0.178420959834359,0.23280020512927807,1.0,0.3333333333333333,,0.0,387.3222222222222,0
A-confirmatory_a-20260830-001652,1,clean,full_rfl,90,0.18605391963579818,0.21664622624065047,0.32633178439003346,0.42417169219685463,1.0,0.3333333333333333,,0.0,91.64444444444445,0
A-confirmatory_a-20260830-001652,1,clean,oracle_upper,90,0.0,0.0,0.178420959834359,0.23280020512927807,1.0,0.3333333333333333,,0.0,0.0,0
A-confirmatory_a-20260830-001652,1,symmetric,immediate,90,0.5109533495095413,0.42587493022472783,0.40381729792028576,0.47493255064016804,0.6222222222222222,0.42857142857142855,1.0,0.0,0.0,37
A-confirmatory_a-20260830-001652,1,symmetric,pe_seq,90,0.4704654987524927,0.1730073486120105,0.5155607743045661,0.19038564414843412,1.0,0.4666666666666667,0.9047619047619048,0.0,0.0,42
A-confirmatory_a-20260830-001652,1,symmetric,cf_only,90,0.0,0.0,0.178420959834359,0.23280020512927807,1.0,0.3333333333333333,0.0,0.0,387.3222222222222,31
A-confirmatory_a-20260830-001652,1,symmetric,full_rfl,90,0.19267973316808013,0.20818882763473656,0.3193950079848701,0.4089570627277894,1.0,0.3333333333333333,0.07317073170731707,0.0,92.84444444444445,41
A-confirmatory_a-20260830-001652,1,symmetric,oracle_upper,90,0.0,0.0,0.178420959834359,0.23280020512927807,1.0,0.3333333333333333,0.0,0.0,0.0,31
A-confirmatory_a-20260830-001652,2,clean,immediate,90,0.16945219482585852,0.23156839260703885,0.006703544764040387,0.009063582382012771,0.6666666666666666,0.0,,0.0,0.0,0
A-confirmatory_a-20260830-001652,2,clean,pe_seq,90,0.3889085433097673,0.11275183218929401,0.44769755493922203,0.21120383141123797,1.0,0.3333333333333333,,0.0,0.0,0
A-confirmatory_a-20260830-001652,2,clean,cf_only,90,0.0,0.0,0.17620670778268765,0.2341720233579571,1.0,0.3333333333333333,,0.0,388.5111111111111,0
A-confirmatory_a-20260830-001652,2,clean,full_rfl,90,0.18670514870159458,0.21708926971671982,0.3288846838055684,0.4297951906886944,1.0,0.3333333333333333,,0.0,94.11111111111111,0
A-confirmatory_a-20260830-001652,2,clean,oracle_upper,90,0.0,0.0,0.17620670778268765,0.2341720233579571,1.0,0.3333333333333333,,0.0,0.0,0
A-confirmatory_a-20260830-001652,2,symmetric,immediate,90,0.47836581686832963,0.4259765620839128,0.36748981693943555,0.4584061654522675,0.6555555555555556,0.4067796610169492,1.0,0.0,0.0,36
A-confirmatory_a-20260830-001652,2,symmetric,pe_seq,90,0.4633076576669046,0.15631438705015865,0.4938774577964699,0.19659210418721287,1.0,0.3888888888888889,0.925,0.0,0.0,40
A-confirmatory_a-20260830-001652,2,symmetric,cf_only,90,0.0,0.0,0.17620670778268765,0.2341720233579571,1.0,0.3333333333333333,0.0,0.0,388.5111111111111,29
A-confirmatory_a-20260830-001652,2,symmetric,full_rfl,90,0.2026662037096523,0.21638805191219385,0.33049961421856,0.42012429896571524,1.0,0.3333333333333333,0.12195121951219512,0.0,95.52222222222223,41
A-confirmatory_a-20260830-001652,2,symmetric,oracle_upper,90,0.0,0.0,0.17620670778268765,0.2341720233579571,1.0,0.3333333333333333,0.0,0.0,0.0,39
A-confirmatory_a-20260830-001652,3,clean,immediate,90,0.16924406716294474,0.23168479977208017,0.006389618237531675,0.007641825500482404,0.6666666666666666,0.0,,0.0,0.0,0
A-confirmatory_a-20260830-001652,3,clean,pe_seq,90,0.389269851818945,0.11229781169478031,0.4477131565136123,0.2124587994737244,1.0,0.3333333333333333,,0.0,0.0,0
A-confirmatory_a-20260830-001652,3,clean,cf_only,90,0.0,0.0,0.1759378402339694,0.23424800440139457,1.0,0.3333333333333333,,0.0,387.81111111111113,0
A-confirmatory_a-20260830-001652,3,clean,full_rfl,90,0.1859265251125109,0.2167018457877762,0.32480459257750327,0.42523703860311707,1.0,0.3333333333333333,,0.0,91.47777777777777,0
A-confirmatory_a-20260830-001652,3,clean,oracle_upper,90,0.0,0.0,0.1759378402339694,0.23424800440139457,1.0,0.3333333333333333,,0.0,0.0,0
A-confirmatory_a-20260830-001652,3,symmetric,immediate,90,0.5567062237764593,0.43573455699274666,0.46093853529596435,0.4799031409472621,0.6555555555555556,0.4915254237288136,1.0,0.0,0.0,44
A-confirmatory_a-20260830-001652,3,symmetric,pe_seq,90,0.46300047123750876,0.15726267018953452,0.5015499861124655,0.202099828182782,1.0,0.4666666666666667,0.9523809523809523,0.0,0.0,42
A-confirmatory_a-20260830-001652,3,symmetric,cf_only,90,0.0,0.0,0.1759378402339694,0.23424800440139457,1.0,0.3333333333333333,0.0,0.0,387.81111111111113,38
A-confirmatory_a-20260830-001652,3,symmetric,full_rfl,90,0.19695525129556143,0.20914176201089654,0.3188136972306663,0.40933128046485984,1.0,0.3333333333333333,0.07894736842105263,0.0,88.45555555555555,38
A-confirmatory_a-20260830-001652,3,symmetric,oracle_upper,90,0.0,0.0,0.1759378402339694,0.23424800440139457,1.0,0.3333333333333333,0.0,0.0,0.0,28
A-confirmatory_a-20260830-001652,4,clean,immediate,90,0.16851947035953938,0.23222329219992335,0.005303590548492681,0.008699594289482727,0.6666666666666666,0.0,,0.0,0.0,0
A-confirmatory_a-20260830-001652,4,clean,pe_seq,90,0.3915003955721736,0.1130764853647945,0.4491539419160706,0.21122093974325143,1.0,0.3333333333333333,,0.0,0.0,0
A-confirmatory_a-20260830-001652,4,clean,cf_only,90,0.0,0.0,0.17426057104945453,0.23548597603307417,1.0,0.3333333333333333,,0.0,386.53333333333336,0
A-confirmatory_a-20260830-001652,4,clean,full_rfl,90,0.18719188827313143,0.21622157612308243,0.32600186933800246,0.42821824208668385,1.0,0.3333333333333333,,0.0,93.41111111111111,0
A-confirmatory_a-20260830-001652,4,clean,oracle_upper,90,0.0,0.0,0.17426057104945453,0.23548597603307417,1.0,0.3333333333333333,,0.0,0.0,0
A-confirmatory_a-20260830-001652,4,symmetric,immediate,90,0.5831108368595183,0.4356522235560889,0.46401590718578406,0.4945066325424786,0.5888888888888889,0.4716981132075472,1.0,0.0,0.0,44
A-confirmatory_a-20260830-001652,4,symmetric,pe_seq,90,0.47548964832415563,0.17276203684660918,0.5168125060698071,0.186465475412414,1.0,0.4444444444444444,0.85,0.0,0.0,40
A-confirmatory_a-20260830-001652,4,symmetric,cf_only,90,0.0,0.0,0.17426057104945453,0.23548597603307417,1.0,0.3333333333333333,0.0,0.0,386.53333333333336,40
A-confirmatory_a-20260830-001652,4,symmetric,full_rfl,90,0.2026618402494809,0.20877190241992014,0.3259994454920857,0.41492675526675676,1.0,0.3333333333333333,0.058823529411764705,0.0,88.34444444444445,34
A-confirmatory_a-20260830-001652,4,symmetric,oracle_upper,90,0.0,0.0,0.17426057104945453,0.23548597603307417,1.0,0.3333333333333333,0.0,0.0,0.0,34
A-confirmatory_a-20260830-001652,5,clean,immediate,90,0.1696127223861308,0.2314477958648423,0.006944336104448767,0.00880929359426398,0.6666666666666666,0.0,,0.0,0.0,0
A-confirmatory_a-20260830-001652,5,clean,pe_seq,90,0.39071129587041487,0.11358634797372234,0.44977669442927976,0.20951600961843872,1.0,0.3333333333333333,,0.0,0.0,0
A-confirmatory_a-20260830-001652,5,clean,cf_only,90,0.0,0.0,0.17630526034292,0.23404731469012188,1.0,0.3333333333333333,,0.0,387.7111111111111,0
A-confirmatory_a-20260830-001652,5,clean,full_rfl,90,0.18637461005468725,0.21734021345943527,0.3289332253105172,0.4296361327122567,1.0,0.3333333333333333,,0.0,94.75555555555556,0
A-confirmatory_a-20260830-001652,5,clean,oracle_upper,90,0.0,0.0,0.17630526034292,0.23404731469012188,1.0,0.3333333333333333,,0.0,0.0,0
A-confirmatory_a-20260830-001652,5,symmetric,immediate,90,0.4068770824068849,0.39852952214888787,0.28257365045970856,0.39903222644974295,0.6777777777777778,0.36065573770491804,1.0,0.0,0.0,32
A-confirmatory_a-20260830-001652,5,symmetric,pe_seq,90,0.4627512660055192,0.16222228575891293,0.5018843383128052,0.19165268698622182,1.0,0.4111111111111111,0.8717948717948718,0.0,0.0,39
A-confirmatory_a-20260830-001652,5,symmetric,cf_only,90,0.0,0.0,0.17630526034292,0.23404731469012188,1.0,0.3333333333333333,0.0,0.0,387.7111111111111,32
A-confirmatory_a-20260830-001652,5,symmetric,full_rfl,90,0.2012598684413229,0.21562053588212188,0.331729245972951,0.42118988414417924,1.0,0.3333333333333333,0.10810810810810811,0.0,97.4,37
A-confirmatory_a-20260830-001652,5,symmetric,oracle_upper,90,0.0,0.0,0.17630526034292,0.23404731469012188,1.0,0.3333333333333333,0.0,0.0,0.0,36
A-confirmatory_a-20260830-001652,6,clean,immediate,90,0.16887903160129908,0.23195450072428878,0.005843799927201204,0.008202550339028296,0.6666666666666666,0.0,,0.0,0.0,0
A-confirmatory_a-20260830-001652,6,clean,pe_seq,90,0.3889376304154825,0.11468412427932616,0.44747042162065814,0.21086214218758528,1.0,0.3333333333333333,,0.0,0.0,0
A-confirmatory_a-20260830-001652,6,clean,cf_only,90,0.0,0.0,0.17521288855019393,0.23479831343063012,1.0,0.3333333333333333,,0.0,388.24444444444447,0
A-confirmatory_a-20260830-001652,6,clean,full_rfl,90,0.18696418668291379,0.21690744886682126,0.32797285321706005,0.43000892699017634,1.0,0.3333333333333333,,0.0,94.58888888888889,0
