n_seeds,mean_diff,cohens_dz,p_sign_flip,ci95_lo,ci95_hi,condition,metric,algo_a,algo_b
12,0.01684930940504684,13.8008949804996,0.0003,0.016201334762621155,0.017515185949106782,clean,ae_mean,full_rfl,immediate
12,0.32016352980463314,107.57769159971018,0.0003,0.3184440726096255,0.32163419256468784,clean,wur_mean,full_rfl,immediate
12,-0.27871498170729564,-7.098124620749912,0.0003,-0.29970578637405965,-0.25782576669274737,symmetric,ae_mean,full_rfl,immediate
12,-0.044231899230314016,-0.7862864170333828,0.0197,-0.07486509627188068,-0.01470504158981064,symmetric,wur_mean,full_rfl,immediate
