run_id,seed_idx,condition,algorithm,n_scenarios,ae_mean,ae_sd,wur_mean,wur_sd,coverage,wrong_update_rate,ffcr,abstention_rate,cf_transitions_mean,n_false_feedback
A-pilot_a-20260828-164211,0,clean,immediate,90,0.16863054351512008,0.23210196217910795,0.005471067797932716,0.006845687102666232,0.6666666666666666,0.0,,0.0,0.0,0
A-pilot_a-20260828-164211,0,clean,pe_seq,90,0.38692572746374465,0.11288665019922331,0.4449129455639809,0.21318732284961348,1.0,0.3333333333333333,,0.0,0.0,0
A-pilot_a-20260828-164211,0,clean,cf_only,90,0.0,0.0,0.1750866232748369,0.23482867353889952,1.0,0.3333333333333333,,0.0,389.64444444444445,0
A-pilot_a-20260828-164211,0,clean,full_rfl,90,0.18680257378735057,0.2170079700626162,0.32786731094049565,0.43031335338222304,1.0,0.3333333333333333,,0.0,93.88888888888889,0
A-pilot_a-20260828-164211,0,clean,oracle_upper,90,0.0,0.0,0.1750866232748369,0.23482867353889952,1.0,0.3333333333333333,,0.0,0.0,0
A-pilot_a-20260828-164211,0,symmetric,immediate,90,0.5064080377475239,0.4234088614934364,0.39952901712477135,0.4611810819314712,0.6444444444444445,0.4482758620689655,1.0,0.0,0.0,39
A-pilot_a-20260828-164211,0,symmetric,pe_seq,90,0.4518842945511113,0.1644343577768961,0.488827270804634,0.2033378737985295,1.0,0.4222222222222222,0.972972972972973,0.0,0.0,37
A-pilot_a-20260828-164211,0,symmetric,cf_only,90,0.0,0.0,0.1750866232748369,0.23482867353889952,1.0,0.3333333333333333,0.0,0.0,389.64444444444445,38
A-pilot_a-20260828-164211,0,symmetric,full_rfl,90,0.1998303836989568,0.21341917131606572,0.32640946271742327,0.42053838757258777,1.0,0.3333333333333333,0.06976744186046512,0.0,100.94444444444444,43
A-pilot_a-20260828-164211,0,symmetric,oracle_upper,90,0.0,0.0,0.1750866232748369,0.23482867353889952,1.0,0.3333333333333333,0.0,0.0,0.0,41
A-pilot_a-20260828-164211,1,clean,immediate,90,0.1682646560950771,0.2323557368101062,0.004922236667868257,0.006513991411366342,0.6666666666666666,0.0,,0.0,0.0,0
A-pilot_a-20260828-164211,1,clean,pe_seq,90,0.38701031532131314,0.11225578859881481,0.44459879201367414,0.214654496744733,1.0,0.3333333333333333,,0.0,0.0,0
A-pilot_a-20260828-164211,1,clean,cf_only,90,0.0,0.0,0.17448250119842668,0.23524615230460627,1.0,0.3333333333333333,,0.0,389.7,0
A-pilot_a-20260828-164211,1,clean,full_rfl,90,0.18713200108598174,0.21677599992983976,0.3277177911165726,0.4309539104093767,1.0,0.3333333333333333,,0.0,93.83333333333333,0
A-pilot_a-20260828-164211,1,clean,oracle_upper,90,0.0,0.0,0.17448250119842668,0.23524615230460627,1.0,0.3333333333333333,,0.0,0.0,0
A-pilot_a-20260828-164211,1,symmetric,immediate,90,0.45550073830430116,0.44450082117579126,0.3705673829225794,0.4749090007747164,0.7222222222222222,0.38461538461538464,1.0,0.0,0.0,34
A-pilot_a-20260828-164211,1,symmetric,pe_seq,90,0.45666629562151595,0.16839438529161269,0.505047993973861,0.19368004281509466,1.0,0.4444444444444444,0.7948717948717948,0.0,0.0,39
A-pilot_a-20260828-164211,1,symmetric,cf_only,90,0.0,0.0,0.17448250119842668,0.23524615230460627,1.0,0.3333333333333333,0.0,0.0,389.7,26
A-pilot_a-20260828-164211,1,symmetric,full_rfl,90,0.19702966225951019,0.21469510479204032,0.3286399919189324,0.42629918195046845,1.0,0.3333333333333333,0.08,0.0,96.5111111111111,25
A-pilot_a-20260828-164211,1,symmetric,oracle_upper,90,0.0,0.0,0.17448250119842668,0.23524615230460627,1.0,0.3333333333333333,0.0,0.0,0.0,31
A-pilot_a-20260828-164211,2,clean,immediate,90,0.170683232546318,0.23077427433472242,0.008546631280453609,0.011616902376995917,0.6666666666666666,0.0,,0.0,0.0,0
A-pilot_a-20260828-164211,2,clean,pe_seq,90,0.38880215597498924,0.11218819636990901,0.44940995084923663,0.21184459690728658,1.0,0.3333333333333333,,0.0,0.0,0
