seed,algorithm,n,ae_mean,wur_mean,f1_mean,ckd_mean,wkr_mean,actual_wur_mean,cf_transitions_mean
0,cf_only,12,0.0,0.25661627447877017,0.9999999999999999,0.04191891157342572,0.04191891157342572,0.25661627447877017,331.75
0,er5,12,0.7436016040473716,0.8264856404133306,0.1301357696900021,0.10456766376326604,0.10456766376326604,0.8264856404133306,0.0
0,full_rfl,12,0.27765547145904734,0.3663872126015825,0.6130783369238345,0.024784473671793095,0.024784473671793095,0.3663872126015825,80.25
0,full_rfl_cfcritical,12,0.27765547145904734,0.3663872126015822,0.6130783369238345,0.02379153252027307,0.02379153252027307,0.3663872126015822,80.25
0,immediate,12,0.7436016040473716,0.8264856404133306,0.1301357696900021,0.10456766376326604,0.10456766376326604,0.8264856404133306,0.0
0,oracle_update,12,0.0,0.25661627447877017,0.9999999999999999,0.04191891157342572,0.04191891157342572,0.25661627447877017,0.0
0,pe_seq,12,0.47936336973286303,0.599302047886544,0.5159614424146425,0.06227804668371494,0.06227804668371494,0.599302047886544,0.0
0,rfl_observe,12,0.27765547145904734,,0.0,0.0,0.0,,80.25
0,standard,12,,,0.0,0.0,0.0,,0.0
1,cf_only,12,0.0,0.2622240781159903,0.9999999999999999,0.04233097432740395,0.04233097432740395,0.2622240781159903,330.0
1,er5,12,0.7411292275193816,0.8231891383760106,0.13261322072420303,0.10456766376326604,0.10456766376326604,0.8231891383760106,0.0
1,full_rfl,12,0.27935113927025634,0.38452951853623296,0.6064484715425965,0.02448196134945224,0.02448196134945224,0.38452951853623296,90.66666666666667
1,full_rfl_cfcritical,12,0.27935113927025634,0.3845295185362317,0.6064484715425968,0.02375501367858253,0.02375501367858253,0.3845295185362317,90.66666666666667
1,immediate,12,0.7411292275193816,0.8231891383760106,0.13261322072420303,0.10456766376326604,0.10456766376326604,0.8231891383760106,0.0
1,oracle_update,12,0.0,0.2622240781159903,0.9999999999999999,0.04233097432740395,0.04233097432740395,0.2622240781159903,0.0
1,pe_seq,12,0.47948615549892715,0.6035704574346069,0.5165126481449892,0.06311818879213404,0.06311818879213404,0.6035704574346069,0.0
1,rfl_observe,12,0.27935113927025634,,0.0,0.0,0.0,,90.66666666666667
1,standard,12,,,0.0,0.0,0.0,,0.0
