seed,algorithm,n,ae_mean,wur_mean,f1_mean,ckd_mean,wkr_mean,actual_wur_mean,cf_transitions_mean
0,cf_only,40,0.0,0.2585778985871023,0.9999999999999998,0.042042889639258424,0.042042889639258424,0.2585778985871023,330.55
0,er5,40,0.7428577356511357,0.8254938158850159,0.13088268278996465,0.10456766376326605,0.10456766376326605,0.8254938158850159,0.0
0,full_rfl,40,0.27875725711011196,0.3811951013637227,0.6069018227385038,0.024400460710061658,0.024400460710061658,0.3811951013637227,90.55
0,full_rfl_cfcritical,40,0.27875725711011196,0.3811951013637226,0.6069018227385038,0.02374342985593213,0.02374342985593213,0.3811951013637226,90.55
0,immediate,40,0.7428577356511357,0.8254938158850159,0.13088268278996465,0.10456766376326605,0.10456766376326605,0.8254938158850159,0.0
0,oracle_update,40,0.0,0.2585778985871023,0.9999999999999998,0.042042889639258424,0.042042889639258424,0.2585778985871023,0.0
0,pe_seq,40,0.4768966948682582,0.5931086515248911,0.52038077344981,0.06229039469260054,0.06229039469260054,0.5931086515248911,0.0
0,rfl_observe,40,0.27875725711011196,,0.0,0.0,0.0,,90.55
0,standard,40,,,0.0,0.0,0.0,,0.0
1,cf_only,40,0.0,0.25913646462143447,0.9999999999999998,0.04204360811853689,0.04204360811853689,0.25913646462143447,329.2
1,er5,40,0.7428534247754577,0.8254880680507787,0.1308900383693692,0.10456766376326605,0.10456766376326605,0.8254880680507787,0.0
1,full_rfl,40,0.2770596361874598,0.3725932648004454,0.6112183924935439,0.024557624515916275,0.024557624515916275,0.3725932648004454,83.9
1,full_rfl_cfcritical,40,0.2770596361874598,0.37259326480044547,0.6112183924935439,0.023712877786782275,0.023712877786782275,0.37259326480044547,83.9
1,immediate,40,0.7428534247754577,0.8254880680507787,0.1308900383693692,0.10456766376326605,0.10456766376326605,0.8254880680507787,0.0
1,oracle_update,40,0.0,0.25913646462143447,0.9999999999999998,0.04204360811853689,0.04204360811853689,0.25913646462143447,0.0
1,pe_seq,40,0.47878161727640184,0.5959292591947521,0.5173175922879507,0.06239309960551781,0.06239309960551781,0.5959292591947521,0.0
1,rfl_observe,40,0.2770596361874598,,0.0,0.0,0.0,,83.9
1,standard,40,,,0.0,0.0,0.0,,0.0
2,cf_only,40,0.0,0.2563741318755115,0.9999999999999998,0.04182899642367077,0.04182899642367077,0.2563741318755115,329.175
2,er5,40,0.7441410949468005,0.8272049616125691,0.1296008458461631,0.10456766376326605,0.10456766376326605,0.8272049616125691,0.0
2,full_rfl,40,0.2780617441305951,0.36421661403016015,0.6131524770429152,0.025019219091353944,0.025019219091353944,0.36421661403016015,77.275
2,full_rfl_cfcritical,40,0.2780617441305951,0.36421661403016026,0.6131524770429152,0.024045376172817504,0.024045376172817504,0.36421661403016026,77.275
2,immediate,40,0.7441410949468005,0.8272049616125691,0.1296008458461631,0.10456766376326605,0.10456766376326605,0.8272049616125691,0.0
2,oracle_update,40,0.0,0.2563741318755115,0.9999999999999998,0.04182899642367077,0.04182899642367077,0.2563741318755115,0.0
2,pe_seq,40,0.4821764573379272,0.5972305576929473,0.5128058856976261,0.06210440343703065,0.06210440343703065,0.5972305576929473,0.0
2,rfl_observe,40,0.2780617441305951,,0.0,0.0,0.0,,77.275
